CMDLINE python run_correccion.py
MEM 0.609375 1691516071.6975
MEM 14.265625 1691516071.7979
MEM 19.257812 1691516071.8982
MEM 19.863281 1691516071.9985
MEM 24.652344 1691516072.0988
MEM 27.820312 1691516072.1990
MEM 33.218750 1691516072.2993
MEM 34.910156 1691516072.3996
MEM 35.742188 1691516072.4999
MEM 38.238281 1691516072.6001
MEM 40.050781 1691516072.7004
MEM 43.144531 1691516072.8007
MEM 43.707031 1691516072.9010
MEM 44.234375 1691516073.0013
MEM 44.820312 1691516073.1015
MEM 45.675781 1691516073.2018
MEM 46.730469 1691516073.3021
MEM 49.386719 1691516073.4024
MEM 57.347656 1691516073.5028
MEM 72.597656 1691516073.6031
MEM 73.910156 1691516073.7034
MEM 79.628906 1691516073.8037
MEM 81.375000 1691516073.9040
MEM 83.257812 1691516074.0042
MEM 85.718750 1691516074.1045
MEM 88.808594 1691516074.2049
MEM 92.917969 1691516074.3051
MEM 96.613281 1691516074.4054
MEM 98.953125 1691516074.5057
MEM 100.832031 1691516074.6060
MEM 105.234375 1691516074.7063
MEM 109.363281 1691516074.8066
MEM 111.414062 1691516074.9069
MEM 113.617188 1691516075.0072
MEM 116.179688 1691516075.1075
MEM 117.148438 1691516075.2077
MEM 118.742188 1691516075.3080
MEM 120.074219 1691516075.4083
MEM 122.468750 1691516075.5086
MEM 124.878906 1691516075.6090
MEM 128.632812 1691516075.7093
MEM 131.507812 1691516075.8097
MEM 132.921875 1691516075.9100
MEM 133.941406 1691516076.0103
MEM 136.515625 1691516076.1106
MEM 139.691406 1691516076.2109
MEM 142.289062 1691516076.3112
MEM 143.992188 1691516076.4116
MEM 145.210938 1691516076.5119
MEM 146.753906 1691516076.6122
MEM 152.847656 1691516076.7125
MEM 158.417969 1691516076.8130
MEM 163.406250 1691516076.9133
MEM 166.316406 1691516077.0136
MEM 168.308594 1691516077.1139
MEM 168.917969 1691516077.2142
MEM 169.480469 1691516077.3145
MEM 169.718750 1691516077.4147
MEM 170.488281 1691516077.5150
MEM 171.765625 1691516077.6153
MEM 172.320312 1691516077.7157
MEM 172.875000 1691516077.8160
MEM 175.265625 1691516077.9163
MEM 177.574219 1691516078.0166
MEM 179.503906 1691516078.1169
MEM 182.539062 1691516078.2172
MEM 184.210938 1691516078.3175
MEM 186.082031 1691516078.4178
MEM 187.589844 1691516078.5181
MEM 189.023438 1691516078.6184
MEM 194.070312 1691516078.7188
MEM 194.070312 1691516078.8192
MEM 194.074219 1691516078.9195
MEM 194.074219 1691516079.0199
MEM 194.074219 1691516079.1202
MEM 194.082031 1691516079.2206
MEM 194.082031 1691516079.3209
MEM 194.105469 1691516079.4213
MEM 194.105469 1691516079.5217
MEM 194.105469 1691516079.6220
MEM 194.125000 1691516079.7224
MEM 194.125000 1691516079.8228
MEM 194.910156 1691516079.9232
MEM 195.367188 1691516080.0235
MEM 198.332031 1691516080.1238
MEM 200.128906 1691516080.2242
MEM 200.968750 1691516080.3246
MEM 201.808594 1691516080.4250
MEM 202.640625 1691516080.5254
MEM 203.484375 1691516080.6258
MEM 204.312500 1691516080.7262
MEM 205.148438 1691516080.8265
MEM 210.296875 1691516080.9269
MEM 206.914062 1691516081.0272
MEM 207.378906 1691516081.1275
MEM 207.636719 1691516081.2279
MEM 207.722656 1691516081.3283
MEM 207.820312 1691516081.4287
MEM 207.917969 1691516081.5290
MEM 212.148438 1691516081.6294
MEM 208.820312 1691516081.7297
MEM 209.464844 1691516081.8301
MEM 209.593750 1691516081.9305
MEM 209.593750 1691516082.0308
MEM 209.644531 1691516082.1311
MEM 209.863281 1691516082.2314
MEM 209.933594 1691516082.3318
MEM 210.156250 1691516082.4321
MEM 210.257812 1691516082.5324
MEM 210.457031 1691516082.6328
MEM 210.566406 1691516082.7331
MEM 210.679688 1691516082.8334
MEM 210.785156 1691516082.9338
MEM 210.785156 1691516083.0341
MEM 211.085938 1691516083.1345
MEM 211.156250 1691516083.2348
MEM 211.253906 1691516083.3351
MEM 211.351562 1691516083.4354
MEM 211.546875 1691516083.5358
MEM 211.656250 1691516083.6361
MEM 211.761719 1691516083.7364
MEM 211.859375 1691516083.8368
MEM 211.859375 1691516083.9371
MEM 212.152344 1691516084.0374
MEM 212.937500 1691516084.1378
