CMDLINE /home/divar/miniconda3/envs/paralelo/bin/python3.8 1test_qqcorr.py
MEM 0.644531 1692735675.8960
MEM 15.898438 1692735675.9963
MEM 30.304688 1692735676.0966
MEM 49.625000 1692735676.1969
MEM 81.539062 1692735676.2973
MEM 87.699219 1692735676.3977
MEM 93.687500 1692735676.4981
MEM 101.074219 1692735676.5985
MEM 108.031250 1692735676.6988
MEM 143.867188 1692735676.7992
MEM 148.800781 1692735676.8995
MEM 159.441406 1692735676.9999
MEM 173.125000 1692735677.1002
MEM 183.140625 1692735677.2005
MEM 185.105469 1692735677.3007
MEM 189.996094 1692735677.4010
MEM 190.023438 1692735677.5013
MEM 191.203125 1692735677.6016
MEM 191.250000 1692735677.7019
MEM 191.250000 1692735677.8022
MEM 191.250000 1692735677.9025
MEM 191.250000 1692735678.0028
MEM 191.250000 1692735678.1031
MEM 191.250000 1692735678.2034
MEM 191.250000 1692735678.3037
MEM 191.250000 1692735678.4040
MEM 191.250000 1692735678.5042
MEM 191.250000 1692735678.6045
MEM 191.250000 1692735678.7048
MEM 191.250000 1692735678.8051
MEM 191.250000 1692735678.9054
MEM 191.250000 1692735679.0057
MEM 191.250000 1692735679.1060
MEM 191.250000 1692735679.2063
MEM 191.250000 1692735679.3066
MEM 191.250000 1692735679.4069
MEM 191.250000 1692735679.5072
MEM 191.250000 1692735679.6075
MEM 191.250000 1692735679.7078
MEM 191.250000 1692735679.8081
MEM 191.250000 1692735679.9084
MEM 191.250000 1692735680.0087
MEM 191.250000 1692735680.1089
MEM 191.250000 1692735680.2093
MEM 191.250000 1692735680.3095
MEM 191.250000 1692735680.4098
MEM 191.250000 1692735680.5101
MEM 191.250000 1692735680.6104
MEM 191.250000 1692735680.7107
MEM 191.250000 1692735680.8110
MEM 191.250000 1692735680.9113
MEM 191.250000 1692735681.0117
MEM 191.250000 1692735681.1120
MEM 191.250000 1692735681.2123
MEM 191.250000 1692735681.3125
MEM 191.250000 1692735681.4128
MEM 191.250000 1692735681.5131
MEM 191.250000 1692735681.6134
MEM 191.250000 1692735681.7137
MEM 191.250000 1692735681.8140
MEM 191.250000 1692735681.9143
MEM 191.250000 1692735682.0146
MEM 191.250000 1692735682.1148
MEM 191.250000 1692735682.2151
MEM 191.250000 1692735682.3154
MEM 191.250000 1692735682.4157
MEM 191.250000 1692735682.5160
MEM 191.250000 1692735682.6163
MEM 191.250000 1692735682.7166
MEM 191.250000 1692735682.8169
MEM 191.250000 1692735682.9172
MEM 191.250000 1692735683.0175
MEM 191.250000 1692735683.1177
MEM 191.250000 1692735683.2180
MEM 191.250000 1692735683.3183
MEM 191.250000 1692735683.4186
MEM 191.250000 1692735683.5189
MEM 191.250000 1692735683.6192
MEM 191.250000 1692735683.7195
MEM 191.250000 1692735683.8198
MEM 191.250000 1692735683.9200
MEM 191.250000 1692735684.0203
MEM 191.250000 1692735684.1206
MEM 191.250000 1692735684.2209
MEM 191.250000 1692735684.3212
MEM 191.250000 1692735684.4215
MEM 191.250000 1692735684.5218
MEM 191.250000 1692735684.6220
MEM 191.250000 1692735684.7223
MEM 191.250000 1692735684.8227
MEM 191.250000 1692735684.9229
MEM 191.250000 1692735685.0233
MEM 191.250000 1692735685.1235
MEM 191.250000 1692735685.2238
MEM 191.250000 1692735685.3241
MEM 191.250000 1692735685.4244
MEM 191.250000 1692735685.5247
MEM 191.250000 1692735685.6250
MEM 191.250000 1692735685.7253
MEM 191.250000 1692735685.8256
MEM 191.250000 1692735685.9259
MEM 191.250000 1692735686.0262
MEM 191.250000 1692735686.1266
MEM 191.250000 1692735686.2269
MEM 191.250000 1692735686.3271
MEM 191.250000 1692735686.4274
MEM 191.250000 1692735686.5277
MEM 191.250000 1692735686.6280
MEM 191.250000 1692735686.7283
MEM 191.250000 1692735686.8286
MEM 191.250000 1692735686.9289
MEM 191.250000 1692735687.0292
MEM 191.250000 1692735687.1294
MEM 191.250000 1692735687.2297
MEM 191.250000 1692735687.3300
MEM 191.250000 1692735687.4304
MEM 191.250000 1692735687.5307
MEM 191.250000 1692735687.6310
MEM 191.250000 1692735687.7312
MEM 191.250000 1692735687.8315
MEM 191.250000 1692735687.9318
MEM 191.250000 1692735688.0320
MEM 191.250000 1692735688.1323
MEM 191.250000 1692735688.2326
MEM 191.250000 1692735688.3328
MEM 191.250000 1692735688.4331
MEM 191.250000 1692735688.5333
MEM 191.250000 1692735688.6336
MEM 191.250000 1692735688.7339
MEM 191.250000 1692735688.8341
MEM 191.250000 1692735688.9344
MEM 191.250000 1692735689.0346
MEM 191.250000 1692735689.1349
MEM 191.250000 1692735689.2351
MEM 191.250000 1692735689.3354
MEM 191.250000 1692735689.4356
MEM 191.250000 1692735689.5359
MEM 191.250000 1692735689.6362
MEM 191.250000 1692735689.7364
MEM 191.250000 1692735689.8367
MEM 191.250000 1692735689.9370
